distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 
0 63 20.13509 0.05254763 -90612.74 -1172.026 
0 64 20.13509 -0.0839911 -90612.74 -1172.026 
0 65 20.13509 -0.0839911 -74972.44 -1172.026 
0 66 20.13509 -0.0839911 -74972.44 -2339.422 
0 67 -6.376147 0.01016059 10216.61 -1124.079 
0 68 8.605629 -0.09606471 69199.81 3047.237 
0 69 -5.489984 0.06354262 -28028.8 -1556.145 
0 70 25.75376 0.07477346 -130428.4 -1495.981 
0 71 17.95342 0.07477346 -130428.4 -1495.981 
0 72 17.95342 0.01425169 -130428.4 -1495.981 
0 73 17.95342 0.01425169 -111026 -1495.981 
0 74 17.95342 0.01425169 -111026 1655.225 
0 75 15.01888 -0.001078256 -125381 -2942.349 
0 76 -7.502011 -0.01138349 -162686.3 2681.762 
0 77 1.817703 0.01656178 -153643.4 -3319.409 
0 78 -25.0576 0.08339451 173840.6 -3456.851 
0 79 0.524822 0.08339451 173840.6 -3456.851 
0 80 0.524822 0.07596945 173840.6 -3456.851 
0 81 0.524822 0.07596945 -101103.9 -3456.851 
0 82 0.524822 0.07596945 -101103.9 3256.995 
0 83 29.313 0.08404391 -102100.6 -1704.535 
0 84 2.107175 0.05531614 107184.4 -3029.949 
0 85 -11.94528 -0.06997966 63269.35 2834.059 
0 86 22.7118 0.02573989 33076.34 -3090.18 
0 87 19.09578 0.02573989 33076.34 -3090.18 
0 88 19.09578 -0.0581394 33076.34 -3090.18 
0 89 19.09578 -0.0581394 -2712.636 -3090.18 
0 90 19.09578 -0.0581394 -2712.636 -3280.879 
0 91 -10.47563 -0.07052405 18456.05 2908.45 
0 92 9.910616 0.09545471 -41187.41 2905.365 
0 93 15.76741 0.005773857 -162827.1 199.7559 
0 94 26.449 -0.01819125 156174.8 -3088.203 
0 95 25.16142 -0.01819125 156174.8 -3088.203 
0 96 25.16142 -0.06070818 156174.8 -3088.203 
0 97 25.16142 -0.06070818 118679.6 -3088.203 
0 98 25.16142 -0.06070818 118679.6 1549.109 
0 99 25.27837 -0.001267682 74392.4 -1960.521 
0 100 24.62175 0.09097844 -48260.77 36.82484 
0 101 -24.76659 0.0431947 144639.9 -1138.7 
0 102 -8.193198 -0.02719094 -1945.731 -1117.811 
0 103 17.58831 -0.02719094 -1945.731 -1117.811 
0 104 17.58831 -0.09355177 -1945.731 -1117.811 
0 105 17.58831 -0.09355177 66652.95 -1117.811 
0 106 17.58831 -0.09355177 66652.95 -1832.465 
0 107 29.38708 0.08722897 -15903.95 -530.2875 
0 108 8.539713 0.008286939 -169901 -1424.585 
0 109 3.997511 -0.02699487 163128.9 3010.596 
0 110 -26.69522 -0.04288832 111865.2 3244.779 
0 111 10.96629 -0.04288832 111865.2 3244.779 
0 112 10.96629 0.09107511 111865.2 3244.779 
0 113 10.96629 0.09107511 -92823.31 3244.779 
0 114 10.96629 0.09107511 -92823.31 -317.3251 
0 115 13.0818 -0.03188245 -94439.1 716.9116 
0 116 -23.3619 -0.0168915 18393.74 -2038.702 
0 117 12.0738 -0.05089167 91979.52 -2147.815 
0 118 26.71742 0.08113957 -92548.75 474.3467 
0 119 -23.10853 0.08113957 -92548.75 474.3467 
0 120 -23.10853 -0.01728025 -92548.75 474.3467 
0 121 -23.10853 -0.01728025 23499.69 474.3467 
0 122 -23.10853 -0.01728025 23499.69 1884.185 
0 123 22.76405 -0.06745053 21304.19 3469.255 
0 124 29.0125 0.08643855 -39689.31 -2441.341 
0 125 25.35176 -0.05949336 -74177.51 -3077.846 
0 126 -4.596433 -0.06521495 25762.25 -2934.999 
0 127 -28.72724 -0.06521495 25762.25 -2934.999 
0 128 -28.72724 0.01067402 25762.25 -2934.999 
0 129 -28.72724 0.01067402 37377.89 -2934.999 
0 130 -28.72724 0.01067402 37377.89 374.7076 
0 131 3.166089 0.05285152 -43388.03 3355.192 
0 132 15.82406 -0.05261544 -145007.6 1819.422 
0 133 24.86621 -0.03728081 -3320.388 -871.3936 
0 134 4.083443 0.02227826 -62930.95 886.1651 
0 135 0.5476035 0.02227826 -62930.95 886.1651 
0 136 0.5476035 -0.06837502 -62930.95 886.1651 
0 137 0.5476035 -0.06837502 -57100.93 886.1651 
0 138 0.5476035 -0.06837502 -57100.93 1017.786 
0 139 -3.725585 -0.08759505 116899 1364.072 
0 140 -8.379392 0.04881844 181605.5 1521.43 
0 141 -4.038782 0.05592246 -76095.73 -3205.485 
0 142 21.8866 -0.06290207 -68282.35 499.9342 
0 143 -10.54883 -0.06290207 -68282.35 499.9342 
0 144 -10.54883 0.06528172 -68282.35 499.9342 
0 145 -10.54883 0.06528172 19630.1 499.9342 
0 146 -10.54883 0.06528172 19630.1 946.4342 
0 147 -12.53938 -0.04746335 118415 1573.809 
0 148 -5.745248 0.05768174 158395.6 1402.808 
0 149 -11.22938 -5.428066e-05 -49635.81 1328.589 
0 150 25.50842 -0.00876149 195609.9 -2380.851 
0 151 -8.399839 -0.00876149 195609.9 -2380.851 
0 152 -8.399839 -0.07475089 195609.9 -2380.851 
0 153 -8.399839 -0.07475089 80233.11 -2380.851 
0 154 -8.399839 -0.07475089 80233.11 -611.7718 
0 155 -27.70248 0.03389845 -141705.2 3026.183 
0 156 20.16702 0.05839525 -7416.832 -2950.466 
0 157 29.68885 -0.04261045 118748.6 -1333.933 
0 158 -5.388195 -0.04003354 -17571.8 -2655.433 
0 159 24.46117 -0.04003354 -17571.8 -2655.433 
0 160 24.46117 0.02117001 -17571.8 -2655.433 
0 161 24.46117 0.02117001 -36386.51 -2655.433 
0 162 24.46117 0.02117001 -36386.51 1975.2 
0 163 0.8909113 0.02898229 7138.252 3064.575 
0 164 0.5480179 0.08909902 180243.1 -383.6902 
0 165 -25.36277 0.0823519 -87851.15 90.8864 
0 166 -13.29574 0.03967753 28230.72 -326.047 
0 167 -12.8006 0.03967753 28230.72 -326.047 
0 168 -12.8006 0.09241813 28230.72 -326.047 
0 169 -12.8006 0.09241813 50188.86 -326.047 
0 170 -12.8006 0.09241813 50188.86 -1519.014 
0 171 -5.900776 0.08746793 173166.3 3037.062 
0 172 26.53723 0.071391 160001.7 -1745.179 
0 173 13.0548 -0.009645346 136194.4 -3132.429 
0 174 -6.473889 -0.05057365 157101.7 -3419.908 
0 175 27.91488 -0.05057365 157101.7 -3419.908 
0 176 27.91488 0.06224279 157101.7 -3419.908 
0 177 27.91488 0.06224279 -156315 -3419.908 
0 178 27.91488 0.06224279 -156315 75.71475 
0 179 7.718367 0.05213732 61696.83 811.3869 
0 180 -28.32792 -0.04003558 -142030.4 394.3736 
0 181 23.52555 -0.0118932 51149.27 128.8826 
0 182 -0.6491259 -0.09249693 -122066.4 -3183.019 
0 183 -14.75169 -0.09249693 -122066.4 -3183.019 
0 184 -14.75169 -0.09051407 -122066.4 -3183.019 
