distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 
8.670174e-06 134 0.03 1e-04 200 3.500001 
1.313832e-05 135 0.03 1e-04 200 3.499999 
5.23653e-09 136 0.03 1e-04 200 3.5 
0.181761 137 0.030001 1e-04 200 3.5 
0.1868755 138 0.029999 1e-04 200 3.5 
204372.9 139 0.03 0.000101 200 3.5 
730.8132 140 0.03 9.9e-05 200 3.5 
7.219908e-09 141 0.03 1e-04 200 3.5 
3.574784e-09 142 0.03 1e-04 200 3.5 
1.032151e-05 143 0.03 1e-04 200 3.500001 
1.126359e-05 144 0.03 1e-04 200 3.499999 
2.338547e-10 145 0.03 1e-04 200 3.5 
0.1817131 146 0.030001 1e-04 200 3.5 
0.1869256 147 0.029999 1e-04 200 3.5 
204372.9 148 0.03 0.000101 200 3.5 
730.8118 149 0.03 9.9e-05 200 3.5 
7.787185e-10 150 0.03 1e-04 200 3.5 
1.07312e-11 151 0.03 1e-04 200 3.5 
1.068906e-05 152 0.03 1e-04 200 3.500001 
1.088606e-05 153 0.03 1e-04 200 3.499999 
1.044371e-11 154 0.03 1e-04 200 3.5 
0.1817029 155 0.030001 1e-04 200 3.5 
0.1869361 156 0.029999 1e-04 200 3.5 
204372.9 157 0.03 0.000101 200 3.5 
730.8115 158 0.03 9.9e-05 200 3.5 
2.536107e-10 159 0.03 1e-04 200 3.5 
9.123967e-11 160 0.03 1e-04 200 3.5 
1.076759e-05 161 0.03 1e-04 200 3.500001 
1.080699e-05 162 0.03 1e-04 200 3.499999 
4.664521e-13 163 0.03 1e-04 200 3.5 
0.1817008 164 0.030001 1e-04 200 3.5 
0.1869383 165 0.029999 1e-04 200 3.5 
204372.9 166 0.03 0.000101 200 3.5 
730.8114 167 0.03 9.9e-05 200 3.5 
1.790198e-10 168 0.03 1e-04 200 3.5 
1.455058e-10 169 0.03 1e-04 200 3.5 
1.078434e-05 170 0.03 1e-04 200 3.500001 
1.079046e-05 171 0.03 1e-04 200 3.499999 
2.083807e-14 172 0.03 1e-04 200 3.5 
0.1817003 173 0.030001 1e-04 200 3.5 
0.1869388 174 0.029999 1e-04 200 3.5 
204372.9 175 0.03 0.000101 200 3.5 
730.8114 176 0.03 9.9e-05 200 3.5 
1.654731e-10 177 0.03 1e-04 200 3.5 
1.590671e-10 178 0.03 1e-04 200 3.5 
1.078819e-05 179 0.03 1e-04 200 3.500001 
1.078683e-05 180 0.03 1e-04 200 3.499999 
1.960223e-16 181 0.03 1e-04 200 3.5 
0.1817002 182 0.030001 1e-04 200 3.5 
0.1869389 183 0.029999 1e-04 200 3.5 
204372.9 184 0.03 0.000101 200 3.5 
730.8114 185 0.03 9.9e-05 200 3.5 
1.621528e-10 186 0.03 1e-04 200 3.5 
1.6192e-10 187 0.03 1e-04 200 3.5 
1.078848e-05 188 0.03 1e-04 200 3.500001 
1.078631e-05 189 0.03 1e-04 200 3.499999 
7.750538e-16 190 0.03 1e-04 200 3.5 
0.1817002 191 0.030001 1e-04 200 3.5 
0.1869389 192 0.029999 1e-04 200 3.5 
204372.9 193 0.03 0.000101 200 3.5 
730.8114 194 0.03 9.9e-05 200 3.5 
1.615467e-10 195 0.03 1e-04 200 3.5 
1.629614e-10 196 0.03 1e-04 200 3.5 
1.078898e-05 197 0.03 1e-04 200 3.500001 
1.078604e-05 198 0.03 1e-04 200 3.499999 
296595.7 199 0.03516982 8.351517e-05 236.6946 2.930262 
